Процессор AMD Ryzen 7 PRO 3700 OEM,22299,Процессоры,AMD,"AM4, 8 x 3600 МГц, L2 - 4 МБ, L3 - 32 МБ, 2хDDR4-3200 МГц, TDP 65 Вт","Базирующийся на архитектуре Zen 2 8-ядерный процессор AMD Ryzen 7 PRO 3700 OEM произведен по техпроцессу 7 нм. Модель, для установки которой используется сокет AM4, станет разумным выбором для пользователей, которые хотят собрать или модернизировать игровую систему или другой ПК, уровень производительности которого значительно превышает средний. Базовая частота процессора – 3600 МГц. Необходимое быстродействие устройства помогает обеспечить 32-мегабайтная кеш-память 3-го уровня. Процессор AMD Ryzen 7 PRO 3700 OEM не имеет встроенного видеоядра. Максимально допустимый объем оперативной памяти – 128 ГБ. Кулер в комплектацию процессора не входит. Выбор устройства охлаждения не вызовет сложностей: модель характеризуется невысоким (65 Вт) показателем TDP."
Видеокарта MSI GeForce RTX 3060 GAMING X (LHR),78999,Видеокарты,MSI,"PCI-E 4.0, 12 ГБ GDDR6, 192 бит, 1320 МГц - 1837 МГц, DisplayPort (3 шт), HDMI","Самое свежее воплощение культовой серии Gaming от MSI – это все то же сочетание высокой скорости, эффективного охлаждения и безупречной эстетики, которое давно полюбилось увлеченным геймерам. Такая видеокарта позволит запускать игры, оставаясь холодной и тихой – именно так, как вам хочется. Настало время показать себя в лучшем свете! Синхронизируйте подсветку видеокарты с иллюминацией остальных компонентов компьютерной системы, чтобы создать подлинно геймерскую атмосферу. Отключить ее так же легко, как выключить свет в комнате."
Оперативная память Kingston FURY Beast Black [KF432C16BBK2/16] 16 ГБ,5199,Оперативная память,Kingston,"DDR4, 8 ГБx2 шт, 3200 МГц, PC25600, 16-18-18","Компания Kingston с гордостью представляет Kingston FURY — бренд высокопроизводительных продуктов для геймеров и энтузиастов. Опыт Kingston в разработке и производстве памяти и хранилищ файлов (воплощением которого стали продукты HyperX DRAM, флэш-память и твердотельные накопители) помогает компании в течение двух десятилетий оставаться ключевым выбором энтузиастов и геймеров. Kingston FURY — это поколение высокопроизводительных устройств памяти и решений для хранения данных, предназначенных для энтузиастов, геймеров и создателей контента. Kingston FURY продолжает традицию производства самой производительной и надёжной памяти DRAM на рынке."
